key,summary
GENSIX-70717,[Bluetooth] : Popup is not disappearing on performing some basic operation on RVC.
GENSIX-70716,[Setup] Split screen options are not matching with option menu.
GENSIX-70714,[Voice recognition] Default focus is not displayed in VR option menu screen.
GENSIX-70713,"[Setting]:""Camera setting screen is exiting on performing RVC On/Off."""
GENSIX-70712,[Setup] The Focus on the option menu is getting changed on making IGN Off->On.
GENSIX-70711,"[Bluetooth]:""Feature unavailable during call popup is getting closed on performing RVC On/Off."""
GENSIX-70710,"[Setup] Dual focus observed in ""Connected Service settings"" screen"
GENSIX-70708,[Web manual] Upon Tapping input text field for the First Time Focus is not getting displayed in Handwriting Tutorial Screen.
GENSIX-70695,[Voice memo] : Inconsistent behavior is observed in Voice memo screen
GENSIX-70694,[Home] Flickering observed in Home screen
GENSIX-70693,[Keypad] Textfield is not getting focused on tapping on it.
GENSIX-70689,"""Second and first depth of the menu options are not closing at a time after few seconds"
GENSIX-70682,"[Setup] Menu option is not working in ""Connected Service settings"" screen"
GENSIX-70679,"[Bluetooth]: ""Favorites contacts full popup"" getting disappears on doing display off/on."
GENSIX-70677,[Keypad] Focus is not changing properly in Settings Keyboard screen.
GENSIX-70672,[User Profile]Options are not displayed on tapping 'Display off' s/k
GENSIX-70671,[Keypad] Blank Button is displayed in Setup Search Keypad Screen.
GENSIX-70666,"[Bluetooth]:""Deleting device popup is getting closed on saving voice memo."""
GENSIX-70664,[Keypad] Alignment issue is Observed in Setup Search Keypad Screen.
GENSIX-70663,[Settings] :Reset popup getting displayed on RVC camera settings screen.
GENSIX-70633,[Voice memo]Alignment issue is observed in the voice memo screen.
GENSIX-70626,[Media]: Blank option is displayed under split screen options in display settings screen.
GENSIX-70625,"[Bluetooth]:""Inconsistent behavior is getting observed on putting call in hold state."""
GENSIX-70624,[Media]:File information Popup is not closing on rotating the tune knob in USB video screen.
GENSIX-70622,"[Connected services] Back and Menu options are enabling but not functioning after getting the ""No service available..""popup"
GENSIX-70607,"[Bluetooth]:Improper behaviour is observed in ""Vehicle Name"" Keypad on changing keypad settings to 10Keys"
GENSIX-70606,[CCS] Dual Focus is observed in Active Connected Service Screen.
GENSIX-70599,[Setup]: Focus is not appearing at the same option after closing the option Menu.
GENSIX-70598,"[Bluetooth] During BT Active call, Clicking on User Profile icon wrong popup is getting displayed"
GENSIX-70595,"[Phone] The Focus is not getting retained on ""Add to Favorite"" popup."
GENSIX-70580,[USM] On performing CCP Push Dail[Left] Focus is not shifting to the Left side in Distance Keypad Screen.
GENSIX-70539,[Setup] Highlight is not Proper in Date/Time Settings Screen.
GENSIX-70537,[USM]:String Value is displayed in the vehicle settings screen
GENSIX-70535,[Voice Recognition]: Focus is getting changed after closing the Menu option.
GENSIX-70533,[Bluetooth] No focus is observed in phone list screen.
GENSIX-70532,"[Setup] ""Cabin ventilation alert"" and ""Advanced anti theft"" options are not present in convenience screen"
GENSIX-70527,[OSD/Popup]:File Information Popup is getting Displayed On Device Connection Setting Screen.
GENSIX-70526,[OSD/Popup]:Hide Popup is not getting Displayed On Camera Setting Screen.
GENSIX-70511,[Manual] Options in parking are not displayed as per the spec
GENSIX-70509,[Popup]Popup is closing and moving to previous screen upon performing RVC on and off.
GENSIX-70501,[User Profile] No focus is observed in alert popup screen
GENSIX-70500,[Radio] No focus is observed on radio screen on coming back from delete presets screen.
GENSIX-70450,[Settings] Option Menu is closing on making display OFF > ON
GENSIX-70449,[Setting]:Reset Popup is getting Displayed On Device Connection Setting Screen.
GENSIX-70446,[Split screen] Split screen option is not changing in menu in USB music screen when changing the options from split screen on Phone projection popup.
GENSIX-70443,[Vehicle Setup]Option and Guide text is not as per the spec
GENSIX-70427,"[USB]: ""String value is getting displayed in USB ."""
GENSIX-70424,[Voice Memo]Mic Volume Bar is not displayed as per the spec
GENSIX-70414,[VR] The Focus is not accelerating fast to upmost or downmost in the option menu list.
GENSIX-70413,[Keypad] Inconsistent behavior is observed in User Profile Keypad Screen.
GENSIX-70411,[Home] Focus is not retaining properly to the previously focused option in home screen on performing display off/on.
GENSIX-70410,"[System] The Option Menu is getting opened on performing ""Press & Hold"" ""Menu"" H/K (CCP)."
GENSIX-70407,[Voicememo] Slow response is observed in Voice memo recording screen
GENSIX-70406,"[System] The Focus on the options is not rotating in cyclic order when rotating the ""Dial"" (CCP)."
GENSIX-70405,[Setting]:Able to Enter into Sound Setting Screen On Active Call State.
GENSIX-70404,[Map]:Blank screen is observed in Map screen on pressing Menu h/k.
GENSIX-70400,[Voice memo] AV Off OSD is not displayed on pressing AV off button
GENSIX-70397,"[System] The Option menu is not getting closed in ""Camera settings"" screen after screen transistion."
GENSIX-70394,[Manual] Dual focus observed in Manual screen
GENSIX-70393,[Setting]:Able to Enter into System Info Screen When Call is On Hold State.
GENSIX-70244,[Setting]:Inconsistent behavior is Observed on Holding Call State.
GENSIX-70242,[USM] When the focus is on the status bar Numbers are not entered in Duration Keypad Screen..
GENSIX-70241,[Settings]Overflow is observed in the Duration screen.
GENSIX-70238,[USM] Guide text is Overlaping with Scroll Bar in Vehicle Settings keypad screen.
GENSIX-70237,[Voice memo] Sometime Flikering is observed in Split screen on pressing custom button H/K
GENSIX-70236,[Keypad] Focus is not displayed on Tapping the characters for the first time.
GENSIX-70232,[User Profile]:Able to Enter into User Profile Screen When Call is on Hold State.
GENSIX-70225,[Settings] Flickering is observed in vehicle settings
GENSIX-70212,"[System] The option menu first depth is not getting closed on performing ""Swipe left""."
GENSIX-70208,[AssistantWindow] Media is not getting displayed in split screen when the fosus is on 'Audio source' option in 'USB Video' and 'Sounds of Nature' screens.
GENSIX-70207,"[RVC] Clicking on time , Split screen options are not getting closed in RVC Setup screen"
GENSIX-70201,[Voice memo] Voice memo is still recording on performing power off.
GENSIX-70200,[Setting]:Focus is Disappearing On Camera Setting Screen.
GENSIX-70198,[Split screen] Voice memo icon should not display in split screen while starting recording.
GENSIX-70196,[OSD/Popup] GCS activation popup is getting closed on performing display off/on in driver assistance screen.
GENSIX-70194,[Setting]:Split Screen is Reopening On Camera Setting Screen On Performing Display OFF/ON.
GENSIX-70192,[Settings] Slow response is observed in setup screen after performing power off.
GENSIX-70191,[DMB] :On tapping Full screen S/K -> DMB full screen mode is not displayed.
GENSIX-70188,[Setting]:Not able to Enter into Software Information Screen On Active Call State.
